site_id,survey_date,survey_type,primary_period,secondary_period
54188,2021-06-28,cmr,1,1
54188,2021-06-29,cmr,1,2
54188,2021-08-29,cmr,2,1
54188,2021-08-30,cmr,2,2
54188,2021-08-31,cmr,2,3
54188,2022-08-20,cmr,3,1
54188,2022-08-21,cmr,3,2
54188,2022-08-22,cmr,3,3
54188,2023-09-05,cmr,4,1
54188,2023-09-06,cmr,4,2
54188,2023-09-07,cmr,4,3
54188,2024-07-29,cmr,5,1
54188,2024-07-30,cmr,5,2
54188,2024-07-31,cmr,5,3
